run,K,sw,lambda,block_id,block_name,num_F,num_R,F_ratio_block,total_cost_J_sum_zones,k_per_zone
sweep_K20_sw3_lam0.25,20,3,0.25,18,model.output_blocks.3,55,145,0.275,1.21638462,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.25,20,3,0.25,19,model.output_blocks.4,55,145,0.275,1.34125555,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.25,20,3,0.25,20,model.output_blocks.5,55,145,0.275,1.45620055,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.25,20,3,0.25,21,model.output_blocks.6,55,145,0.275,1.24688895,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.25,20,3,0.25,22,model.output_blocks.7,55,145,0.275,1.53546497,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.25,20,3,0.25,23,model.output_blocks.8,55,145,0.275,1.28360751,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.25,20,3,0.25,24,model.output_blocks.9,55,145,0.275,1.61876677,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.5,20,3,0.5,0,model.input_blocks.0,55,145,0.275,2.43276923,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.5,20,3,0.5,1,model.input_blocks.1,55,145,0.275,2.43276923,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.5,20,3,0.5,2,model.input_blocks.10,55,145,0.275,2.43276923,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.5,20,3,0.5,3,model.input_blocks.11,55,145,0.275,2.4343928,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.5,20,3,0.5,4,model.input_blocks.2,55,145,0.275,2.59635329,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.5,20,3,0.5,5,model.input_blocks.3,55,145,0.275,2.57303944,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.5,20,3,0.5,6,model.input_blocks.4,55,145,0.275,2.52690846,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.5,20,3,0.5,7,model.input_blocks.5,55,145,0.275,2.43276923,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.5,20,3,0.5,8,model.input_blocks.6,55,145,0.275,2.43276923,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.5,20,3,0.5,9,model.input_blocks.7,55,145,0.275,2.51513246,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.5,20,3,0.5,10,model.input_blocks.8,55,145,0.275,2.55213845,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.5,20,3,0.5,11,model.input_blocks.9,55,145,0.275,2.60226953,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.5,20,3,0.5,12,model.middle_block,55,145,0.275,2.53184063,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.5,20,3,0.5,13,model.output_blocks.0,55,145,0.275,3.04226545,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam0.5,20,3,0.5,14,model.output_blocks.1,55,145,0.275,2.55740711,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
